activity,lap,timestamp,seconds,lat,long,alt,dist,heart,cad
Running,6,2015-07-04T09:53:59.000-07:00,1436028839,37.60526645183563,-122.42296946048737,79.22,2473.2041243298568,172,0
Running,6,2015-07-04T09:54:00.000-07:00,1436028840,37.60524916648865,-122.42295062541962,83.01,2475.7432774872386,170,0
Running,6,2015-07-04T09:54:01.000-07:00,1436028841,37.60524010658264,-122.42292928695679,86.13,2477.8759712806973,170,0
Running,6,2015-07-04T09:54:02.000-07:00,1436028842,37.605241894721985,-122.42290902137756,87.03,2479.672255619499,170,0
Running,6,2015-07-04T09:54:03.000-07:00,1436028843,37.60525298118591,-122.42288863658905,87.43,2481.850421494288,170,0
Running,6,2015-07-04T09:54:04.000-07:00,1436028844,37.605265617370605,-122.4228687286377,87.48,2484.097611541861,170,0
Running,6,2015-07-04T09:54:05.000-07:00,1436028845,37.605276584625244,-122.42285192012787,88.17,2486.0158594350437,170,0
Running,6,2015-07-04T09:54:06.000-07:00,1436028846,37.60528743267059,-122.42283248901367,87.88,2488.109916305525,170,0
Running,6,2015-07-04T09:54:07.000-07:00,1436028847,37.605300307273865,-122.4228138923645,86.23,2490.285516824756,170,0
Running,6,2015-07-04T09:54:08.000-07:00,1436028848,37.60530889034271,-122.42279887199402,86.99,2491.9169819988488,170,0
Running,6,2015-07-04T09:54:09.000-07:00,1436028849,37.60531258583069,-122.42278587818146,87.38,2493.133162156394,170,0
Running,6,2015-07-04T09:54:10.000-07:00,1436028850,37.605310678482056,-122.42276990413666,93.68,2494.556247564534,170,0
Running,6,2015-07-04T09:54:11.000-07:00,1436028851,37.605305671691895,-122.42275059223175,93.39,2496.3462593217305,170,0
Running,6,2015-07-04T09:54:12.000-07:00,1436028852,37.605303049087524,-122.42273616790771,94.33,2497.64996750756,170,0
Running,6,2015-07-04T09:54:13.000-07:00,1436028853,37.6053022146225,-122.42271816730499,94.59,2499.238397104544,170,0
Running,6,2015-07-04T09:54:14.000-07:00,1436028854,37.60529816150665,-122.42269814014435,94.27,2501.0592944300583,170,0
Running,6,2015-07-04T09:54:15.000-07:00,1436028855,37.60529267787933,-122.42267847061157,93.48,2502.8961877843503,170,0
Running,6,2015-07-04T09:54:16.000-07:00,1436028856,37.60528647899628,-122.42266058921814,93.46,2504.615612055799,170,0
Running,6,2015-07-04T09:54:17.000-07:00,1436028857,37.60528373718262,-122.42264187335968,93.99,2506.292289578138,170,0
Running,6,2015-07-04T09:54:18.000-07:00,1436028858,37.605281352996826,-122.42262554168701,94.08,2507.7552090669715,170,0
Running,6,2015-07-04T09:54:19.000-07:00,1436028859,37.60527229309082,-122.42261254787445,94.57,2509.28004654594,170,0
Running,6,2015-07-04T09:54:20.000-07:00,1436028860,37.605257630348206,-122.42260158061981,94.08,2511.175224306197,171,0
Running,6,2015-07-04T09:54:21.000-07:00,1436028861,37.605241775512695,-122.42259347438812,94.69,2513.0773376041166,171,0
Running,6,2015-07-04T09:54:22.000-07:00,1436028862,37.60522389411926,-122.42258703708649,94.93,2515.144946712554,171,0
Running,6,2015-07-04T09:54:23.000-07:00,1436028863,37.605204582214355,-122.42257869243622,93.34,2517.4146724092384,171,0
Running,6,2015-07-04T09:54:24.000-07:00,1436028864,37.60518562793732,-122.42257416248322,92.51,2519.5597408794074,171,0
Running,6,2015-07-04T09:54:25.000-07:00,1436028865,37.60516560077667,-122.42256951332092,91.01,2521.824010969587,171,0
Running,6,2015-07-04T09:54:26.000-07:00,1436028866,37.60514724254608,-122.42256081104279,89.46,2524.0045558957145,171,0
Running,6,2015-07-04T09:54:27.000-07:00,1436028867,37.605130076408386,-122.42254757881165,88.84,2526.2411267580983,171,0
Running,6,2015-07-04T09:54:28.000-07:00,1436028868,37.605114221572876,-122.4225298166275,89.05,2528.59833724285,171,0
Running,6,2015-07-04T09:54:29.000-07:00,1436028869,37.605098485946655,-122.4225103855133,89.29,2531.0461089147875,171,0
Running,6,2015-07-04T09:54:30.000-07:00,1436028870,37.60508191585541,-122.42248702049255,94.1,2533.8086082368786,172,0
Running,6,2015-07-04T09:54:31.000-07:00,1436028871,37.60506463050842,-122.42246174812317,95.18,2536.749819627814,172,0
Running,6,2015-07-04T09:54:32.000-07:00,1436028872,37.6050466299057,-122.42243754863739,95.59,2539.674009241129,172,0
Running,6,2015-07-04T09:54:33.000-07:00,1436028873,37.605029582977295,-122.42241537570953,95.16,2542.3958346728878,172,0
Running,6,2015-07-04T09:54:34.000-07:00,1436028874,37.605011343955994,-122.42239475250244,94.19,2545.118654815543,172,0
Running,6,2015-07-04T09:54:35.000-07:00,1436028875,37.60499286651611,-122.42237424850464,94.44,2547.8543339455528,173,0
Running,6,2015-07-04T09:54:36.000-07:00,1436028876,37.60497522354126,-122.422354221344,94.43,2550.492758263611,173,0
Running,6,2015-07-04T09:54:37.000-07:00,1436028877,37.60495710372925,-122.42233407497406,94.01,2553.1777719935035,173,0
Running,6,2015-07-04T09:54:38.000-07:00,1436028878,37.60494017601013,-122.42231297492981,94.29,2555.823141009634,173,0
Running,6,2015-07-04T09:54:39.000-07:00,1436028879,37.60492193698883,-122.42229270935059,93.01,2558.5250436728493,173,0
Running,6,2015-07-04T09:54:40.000-07:00,1436028880,37.6049040555954,-122.4222731590271,94.42,2561.155548785263,172,0
Running,6,2015-07-04T09:54:41.000-07:00,1436028881,37.60488486289978,-122.42225289344788,93.57,2563.937932584423,172,0
